,item,label,sentence,wikidata
0,Q7495943,0.0,"After he graduated from the Department of Mathematics at Zhejiang University, he did his postgraduate study in the Department of Software Engineering at Shenzhen University.",educated at Zhejiang University
1,Q7495943,0.0,"Got a bachelor's degree in mathematics from Zhejiang University, and created a huge following for his Zhuhai Giant Hi-Tech Group in 1991, based on the popularity of a single videogame.",educated at Zhejiang University
3,Q158067,0.0,"In 1958, her family moved to Harrow, Middlesex, and Westwood took a jewellery and silversmith course at the University of Westminster, then known as the Harrow Art School, but left after one term, saying: ""I didn't know how a working-class girl like me could possibly make a living in the art world"".",educated at University of Westminster
5,Q218279,0.0,"Deutch studied at Oakwood School, Los Angeles County High School for the Arts and at the Young Actors Space.",educated at Los Angeles County High School for the Arts
6,Q16980032,0.0,"He attended Shimer College, then located in Mount Carroll, Illinois, from 1965 to 1967, attended the San Francisco Art Institute from 1967 to 1968, and returned to Shimer for the 1969-1970 academic year.",educated at Shimer College
8,Q379803,0.0,"After completing his military service, Norman enrolled at the University of California, Berkeley, graduating with a B.A.","educated at University of California, Berkeley"
9,Q379803,0.0,"Selected works
 Norman, Jerry (1969), ""The Kienyang Dialect of Fukien"" (Ph.D. dissertation, University of California, Berkeley).","educated at University of California, Berkeley"
10,Q1066256,0.0,"He graduated from Wesleyan University in 1950, and received a PhD in economics in University of Michigan in 1957.",educated at Wesleyan University
12,Q2603131,0.0,In 1979 he earned a Master of Public Administration from Harvard's John F. Kennedy School of Government.,educated at John F. Kennedy School of Government
14,Q28591,0.0,"He also completed a military fellowship at Georgetown University's Edmund A. Walsh School of Foreign Service in 1994–1995, although he was called away early to serve in Haiti as the Chief of Operations for NATO there in early 1995.",educated at Edmund A. Walsh School of Foreign Service
15,Q335503,0.0,"After visiting his father and stepmother in New York, Carpenter returned to Boulder in November 1945 to study aeronautical engineering at the University of Colorado at Boulder.",educated at University of Colorado
16,Q335503,0.0,"Carpenter met Rene Louise Price, a fellow student at the University of Colorado, where she studied history and music.",educated at University of Colorado
17,Q335503,0.0,"Carpenter attended the Navy Line School in Monterey, California in 1957, and then the Naval Air Intelligence School at NAS Anacostia in Washington D.C..",educated at University of Colorado
18,Q335503,0.0,"The identities of the seven were announced at a press conference at Dolley Madison House in Washington, D.C., on April 9, 1959: Carpenter, Gordon Cooper, John Glenn, Gus Grissom, Wally Schirra, Alan Shepard, and Deke Slayton.",educated at University of Colorado
19,Q335503,0.0,"NASA's 1989 official history of Project Mercury says that until the third pass over Hawaii, Christopher C. Kraft Jr. (who directed the flight from Cape Canaveral) ""considered this mission the most successful to date; everything had gone perfectly except for some overexpenditure of hydrogen peroxide fuel,"" However, then problems occurred and Kraft wrote in his 2001 memoir “He was completely ignoring our request to check his instruments...",educated at University of Colorado
20,Q335503,0.0,"By 1968, Carpenter and his wife had separated, with him living in California and Rene with their children in Washington, D.C.",educated at University of Colorado
22,Q335503,0.0,"Notes

References

 
 
 
 
 
 
 
 
 
 
 
 
 

External links

 Iven C. Kincheloe Awards
 Carpenter at International Space Hall of Fame
   Rene Carpenter's article for Life magazine on Carpenter's flight.",educated at University of Colorado
25,Q4731577,0.0,"degree in pharmacy in 1967.Distinguished Alumni 1995: Allen Y. Chao  – website of Purdue University After emigrating to the United States, Chao obtained an M.S.",educated at Purdue University
26,Q4731577,0.0,He subsequently received a Ph.D. degree in Industrial and Physical Pharmacy from Purdue University in 1973.,educated at Purdue University
28,Q5106218,0.0,"Collins earned a Bachelor of Science in Mechanical Engineering from North Carolina State University, where he was a member of the Sigma Pi fraternity, in 1972.",educated at North Carolina State University
29,Q5106218,0.0,Collins was inducted into the North Carolina State University Mechanical and Aerospace Engineering Department Hall of Fame in November 2015.,educated at North Carolina State University
31,Q138351,0.0,"He studied at St Clare's in Oxford, England, and then at Bocconi University in Milan.",educated at Bocconi University
33,Q43144,0.0,"Shortly after arriving in Hawaii, Palin transferred to Hawaii Pacific University in Honolulu for a semester in the fall of 1982.",educated at Hawaii Pacific University
